,Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
86391,5488,6/18/2008,Double Jeopardy!,2007 NEWS,400,18,5,8.92,2,False,,"In November, scientists said they'd found a way to reprogram skin cells to behave like these embryonic cells",stem cells
104582,6262,12/6/2011,Double Jeopardy!,HUD SECRETARIES,800,18,10,13.77,2,False,,"HUD secretary under Nixon, he earlier served as American Motors president & sired a candidate for U.S. president",George Romney
51241,5669,4/9/2009,Jeopardy!,THE OTHER,400,17,7,10.98,2,False,,Linus Pauling had the same initials as this other chemist who lived in France 100 years earlier,Louis Pasteur
82220,4240,1/24/2003,Jeopardy!,"GOIN' ""SOUTH""",1000,10,5,12.86,2,False,,"Home to 43 million people, it borders Mozambique & Botswana",South Africa
9861,5822,12/29/2009,Double Jeopardy!,ACTORS & THEIR ROLES,800,4,3,19.58,2,False,,Tinkerbell & Erin Brockovich,Julia Roberts
100446,4911,1/9/2006,Jeopardy!,2-T OR NOT 2-T,200,7,4,14.46,3,False,,Scattered trash & a liquid metric measurement,litter & liter
54149,5629,2/12/2009,Double Jeopardy!,"CROSSWORD CLUES ""D""",1600,7,1,6.24,2,False,,It puts a spin on Hanukkah (7),a dreidel
23827,5180,3/2/2007,Double Jeopardy!,FURNITURE,800,11,1,5.84,1,True,http://www.j-archive.com/media/2007-03-02_DJ_13.jpg,It's the mountainous name for the chairs shown here,Adirondack
97970,4784,5/26/2005,Jeopardy!,THAT'S WRITE!,200,15,8,13.35,1,False,,"""Garabatos"" in Spanish; Polly Wolly & a certain ""Yankee"" are dandy at these idle scribbles",doodles
46586,5041,7/10/2006,Double Jeopardy!,TALKING TURKEY,400,21,10,12.2,1,False,,"Because Turkey's largest body of water, Lake Van, has this quality, its only animal life is a fish called the darekh",salinity
55233,5402,2/19/2008,Jeopardy!,FICTION,1000,20,6,9.09,3,False,,"The son of a zookeeper is stranded on a 26-ft. lifeboat with zebra, hyena & tiger in this 2002 book",Life of Pi
13518,4265,2/28/2003,Double Jeopardy!,NAMES FROM THE PAST,800,18,6,10.05,1,False,,"Pythagoras found the morning & evening stars were the same body; once called Aphrodite, it's now called this",Venus
102608,5220,4/27/2007,Jeopardy!,IT'S A SCIENTIFIC FACT,1000,33,9,9.26,3,True,"http://www.j-archive.com/media/2007-04-27_J_30.jpg, http://www.j-archive.com/media/2007-04-27_J_30a.jpg","(Kelly of the Clue Crew reports.) Give a length of paper a half-twist, join the ends, and you've created one of these one-sided strips named for a German topologist",a Möbius strip
30055,5226,5/7/2007,Double Jeopardy!,GAUL'S GONE WILD!,1600,16,8,12.33,1,False,,"In the Second Punic War, this Carthaginian made alliance with the Gallic Cenomani against the Romans",Hannibal
18963,5904,4/22/2010,Jeopardy!,JOHN TRAVOLTA FILMS,600,12,4,9.5,5,False,,One of the 2 films in which Travolta played mobster Chili Palmer,Get Shorty (or Be Cool)
80160,5489,6/19/2008,Double Jeopardy!,AFRICAN ANIMALS,1600,15,2,6.49,2,False,,The Cape fur type of this breeds at colonies on the coast of South Africa,a seal
115203,5643,3/4/2009,Jeopardy!,IN THE OFFICE FRIDGE,200,21,6,9.19,1,False,,There's an empty cup in the freezer to make scooping this more sanitary for all (yet no one refills the trays),ice
14828,4561,6/7/2004,Jeopardy!,TREATIES,200,18,6,9.79,1,False,,"Due to the Treaty of Tordesillas of 1494, Portugal gained possession of this country in the New World",Brazil
113822,5297,9/25/2007,Jeopardy!,WIMPY,600,22,4,7.69,1,False,,"In this 1961 war novel, you'll find a captain who doesn't want to fly & a major who hides from his men",Catch-22
564,4085,5/10/2002,Jeopardy!,THIS CATEGORY STINKS!,600,13,7,13.44,3,False,,"This cartoon character's big screen credits include ""For Scent-imental Reasons"" & ""Heaven Scent""",Pepé Le Pew
88554,4655,11/26/2004,Double Jeopardy!,ART HISTORY,1200,13,4,11.1,2,True,"http://www.j-archive.com/media/2004-11-26_DJ_10.jpg, http://www.j-archive.com/media/2004-11-26_DJ_10a.jpg",The frolicsome painting seen here dates from this century,the 18th
83252,4462,1/20/2004,Double Jeopardy!,THE ARABS,2000,19,7,10.4,1,False,,"The term for divinely revealed law in Islam, it's the basis of the legal system in much of Arabia",Sharia
94159,4993,5/3/2006,Jeopardy!,VOLCANOES,400,19,6,9.57,2,False,,"Lassen Peak in the southernmost part of this range was believed extinct until it erupted on May 30, 1914",the Cascades
50526,4514,4/1/2004,Jeopardy!,HISTORIC CELEBRITY SCANDALS,600,14,8,13.35,1,False,,"""Performing in Public in Women's Costumes"", this Roman emperor ""Fiddles with the Nation's Trust""",Nero
55240,5402,2/19/2008,Double Jeopardy!,"NOT ONE, NOT 2, BUT 3 Os",400,8,2,7.98,2,False,,It pulls a train or individual railroad cars,a locomotive
12994,5817,12/22/2009,Jeopardy!,FOR PETE'S SAKE,600,13,3,7.93,1,False,,Last name of the Peter whose hall in Boston was completed in 1742,Faneuil
60776,4831,9/19/2005,Double Jeopardy!,SONNETS,1200,15,4,8.59,1,False,,"This Romantic began his ""England in 1819"", ""An old, mad, blind, despised and dying king""",Shelley
49279,5326,11/5/2007,Jeopardy!,CINEMA CAFE,600,16,6,10.35,1,False,,"A food critic names Adam Sandler ""the best chef in the country"" in this multicultural film",Spanglish
43400,4779,5/19/2005,Jeopardy!,STATES BY COUNTIES,200,3,3,19.58,1,False,,"Glades, Osceola, Suwannee",Florida
61064,5261,6/25/2007,Double Jeopardy!,"VOICES, I HEAR VOICES...",1600,20,8,11.23,2,False,,"Tara Strong has voiced Timmy Turner of ""The Fairly Oddparents"" & babies up as this Nick TV show's Dil Pickles",The Rugrats
102263,5044,7/13/2006,Jeopardy!,REMEMBERING THE '90s,600,16,3,7.39,2,False,,"This blonde proved that ""Les"" is more when she joined the ""60 Minutes"" team in 1991",(Leslie) Stahl
51401,4865,11/4/2005,Jeopardy!,HEAD NORTH,200,11,3,8.87,2,False,,Nebraska is north of Kansas & directly south of this state,South Dakota
79853,4634,10/28/2004,Jeopardy!,SURVIVOR: CONGRESS,1000,18,8,11.49,2,False,,The Strom Thurmond birthday challenge went badly for this Miss. lawmaker & he lost his majority leader immunity,Trent Lott
56371,5901,4/19/2010,Double Jeopardy!,CLASSICAL SOUND EFFECTS,1200,19,5,9.12,1,True,http://www.j-archive.com/media/2010-04-19_DJ_20.mp3,"The title of Richard Strauss' ""Ein Heldenleben"" means this person's ""life""; we hear his enemies carp & snarl",hero
5322,5530,9/26/2008,Jeopardy!,NONFICTION PULITZER WINNERS,1000,15,6,11.1,2,False,,"William Warner's ""Beautiful Swimmers"" is an exploration of the Atlantic blue crab & this bay",the Chesapeake
26529,6245,11/11/2011,Jeopardy!,GAELIC PRIDE,400,14,4,8.84,2,False,,"A large group of families that are related, it's from the Gaelic for ""family""",a clan
111760,5712,6/9/2009,Jeopardy!,I KILLED A GUY ONCE,400,20,4,7.29,2,False,,"On April 3, 1882 in St. Joseph, Missouri, Robert Ford took out this man with a shot to the head",Jesse James
12425,6040,12/10/2010,Jeopardy!,REAL NAMES OF CELEBS,600,14,7,12.78,2,False,,The last name's the give--this English dame & actress was born Ilyena Vasilievna Mironov,Helen Mirren
58617,5141,1/8/2007,Jeopardy!,KURDISH HISTORY,400,15,6,10.7,3,False,,In the 1940s some Kurds formed the short-lived Mahabad Republic with this Communist country's help,the Soviet Union
54663,4389,10/9/2003,Double Jeopardy!,LODGING,2000,16,5,9.64,3,False,,Escoffier was once the chef of this elegant French-named hotel at Fifth Avenue & 61st Street,the Pierre Hotel
92456,6298,1/25/2012,Jeopardy!,TV TO MOVIE ROLES,200,12,5,10.81,3,False,,Anjelica Huston played Morticia to Raul Julia's Gomez in this 1991 flick,The Addams Family
99812,4323,5/21/2003,Double Jeopardy!,HOMOPHONES,800,9,4,11.1,1,False,,"Scorched; or, a large-leaved variety of beet (perhaps Swiss)",charred/chard
80294,6188,7/6/2011,Jeopardy!,FOR KIDS,600,15,3,7.93,1,True,http://www.j-archive.com/media/2011-07-06_J_12.jpg,"In comic books, this kind-hearted bird is often seen with his friend, Wormie",Owlie
11980,5874,3/11/2010,Jeopardy!,WOMEN'S GROUPS,800,19,6,9.79,3,False,,Elizabeth Dole & Katie Couric were members of this sorority whose name is 3 of the same Greek letter,Delta Delta Delta
113213,4261,2/24/2003,Jeopardy!,SHOPPING OFF THE TV,1000,14,6,11.1,1,False,,"Company that makes the fantastic ""Inside the Shell Egg Scrambler"" (I gotta get one!)",Ronco
87157,5255,6/15/2007,Double Jeopardy!,WORLD WAR II,2000,11,5,11.36,1,False,,"On January 22, 1944 the allies began storming this Italian beach",Anzio
103507,4211,12/16/2002,Jeopardy!,COUNTRIES BY NEWSPAPER,800,8,3,10.75,2,False,,The Cape Business News & The Natal Witness,South Africa
712,4960,3/17/2006,Double Jeopardy!,BACK IN 1906,1600,13,3,7.93,1,False,,In 1906 there were 90 of these; nearly two-thirds of them were Republican,senators
33865,5927,5/25/2010,Jeopardy!,"""ALLO"" DARLIN'",800,11,3,9.35,1,True,http://www.j-archive.com/media/2010-05-25_J_23.jpg,Gulp--this species with a distinctive tail is seen here,swallow
85411,4616,10/4/2004,Jeopardy!,AARON BURR,200,10,2,7.29,1,False,,The man he tied with 73 electoral votes in 1800,Jefferson
36923,5955,7/2/2010,Double Jeopardy!,DOMINOES,800,17,8,11.91,1,False,,Dominoes originated in this country in ancient times; the game didn't reach Europe until the 18th century,China
10535,4612,9/28/2004,Double Jeopardy!,A CAJUN CATEGORY,400,15,8,13.35,2,False,,Chicken-chasing & gathering ingredients for a communal gumbo are Cajun festivities for this pre-Lenten day,Mardi Gras
107748,5096,11/6/2006,Jeopardy!,EDISON'S PATENTS,400,20,6,9.57,1,False,,"Encouraged by Firestone, Edison patented a way to get this material out of herbs & shrubs, but it wasn't practical",rubber
78742,5970,7/23/2010,Jeopardy!,LETTER & WORD,1000,17,6,10.35,2,False,,"During World War II, these soldier meals included a stick of gum, toilet paper & 4 cigarettes",K rations
100774,5021,6/12/2006,Double Jeopardy!,"""BLUE"" PLATE SPECIAL",2000,16,4,8.38,3,False,,"For Friday, we're frying up some of these oysters named for a place on Long Island",Blue Point oysters
34957,5080,10/13/2006,Double Jeopardy!,WOLF,2000,14,5,9.97,3,False,,"In this 1904 Jack London tale, Wolf Larsen captains a ship called the Ghost",The Sea Wolf
83049,6170,6/10/2011,Jeopardy!,WHAT KIND OF ANIMAL MASCOT?,600,4,0,0.2,2,False,,NBC (since the 1950s),a peacock
83781,4670,12/17/2004,Jeopardy!,MUSIC CLASS,600,12,4,9.5,2,False,,"For a violinist the notation ""coll'arco"" means go back to using this",the bow
83209,4462,1/20/2004,Jeopardy!,PRESIDENT GEORGE W. BUSH,600,14,5,9.62,2,False,,"Now working for W, this Wyomingite was President George H.W. Bush's Secretary of Defense",(Dick) Cheney
82837,5579,12/4/2008,Double Jeopardy!,OLYMPIC HEROES,400,17,6,10.05,1,False,,In 2004 Ryoko Tani's inside leg technique brought her a second straight gold in this martial art,judo
23618,6100,3/4/2011,Double Jeopardy!,MADE FOR WALKEN,2000,5,3,13.36,1,False,,"1989: Whitley Strieber, an abductee?",Communion
115033,5585,12/12/2008,Jeopardy!,IT'S GOT MEANING,200,9,4,10.88,1,False,,"You're in it now--this is ""Dan&#285;ero!"" (translated from Esperanto)",Jeopardy
49697,5390,2/1/2008,Double Jeopardy!,"""CAN""NED WORDS",400,14,2,6.59,1,False,,"In 1963 the Four Seasons were ""Happy As Can Be"" with this sweet ""Girl""",Candy
26520,4712,2/15/2005,Double Jeopardy!,DERIVED FROM ETRUSCAN,2000,8,3,9.95,2,False,,Cicatrix is a synonym for this medical word,a scar
2235,5352,12/11/2007,Double Jeopardy!,"""AI""",1200,14,5,10.81,1,False,,This often blended rum & juice cocktail is named for a Cuban  town,daiquiri
54890,4162,10/8/2002,Jeopardy!,A PROVERBIAL MESS,200,4,1,7.78,4,False,,What preach you practice,Practice what you preach
106576,4938,2/15/2006,Jeopardy!,STATE QUARTERS,600,19,8,13.35,1,True,"http://www.j-archive.com/media/2006-02-15_J_14.jpg, http://www.j-archive.com/media/2006-02-15_J_14a.jpg","The musical instruments seen on this state's quarter represent the blues, Appalachian, & country music",Tennessee
61511,4928,2/1/2006,Double Jeopardy!,ANGOLAN HISTORY,800,16,6,10.35,1,False,,In the 1970s this Caribbean country sent several thousand troops to fight in Angola's civil war,Cuba
83294,4289,4/3/2003,Double Jeopardy!,FOREIGN FOLKS,800,17,6,10.05,2,False,,This world leader who worked toward peace in the Middle East was assassinated in Cairo in 1981,Anwar Sadat
77455,4188,11/13/2002,Double Jeopardy!,THE ARABIAN PENINSULA,2000,20,8,10.94,1,False,,"At over 1,000 feet, the world's tallest hotel is in this United Arab Emirates city, ""The Venice of the Gulf""",Dubai
104601,4748,4/6/2005,Jeopardy!,CELEBRITY SIBLINGS,200,3,1,11.63,2,False,,Jane & Peter,the Fondas
46782,6191,7/11/2011,Jeopardy!,TV'S FUNNIEST PHRASES,200,7,1,6.24,3,False,,"""We are two wild and crazy guys""",Saturday Night Live
5063,4160,10/4/2002,Double Jeopardy!,JAZZ IT UP,2000,15,7,11.75,2,False,,This Thelonious Monk composition provided the title for a 1986 jazz film starring Dexter Gordon,'Round Midnight
115306,5323,10/31/2007,Double Jeopardy!,AT THE DENTIST'S OFFICE,2000,20,5,8.92,1,False,,"From the Latin for ""to close"", it's the alignment & spacing of your upper & lower teeth when you bite",occlusion
94032,4741,3/28/2005,Double Jeopardy!,"LITERARY CROSSWORD CLUES ""G""",2000,4,3,15.68,1,False,,Danish historian Saxo (11),Grammaticus
65157,5588,12/17/2008,Jeopardy!,EAT YOUR VEGGIES!,600,20,7,10.16,3,False,,"If these are too hot, drink milk: casein in milk wipes away capsaicin, the fiery compound that gives them heat",chilies (chili peppers)
53737,5190,3/16/2007,Double Jeopardy!,FIGHTIN' WORDS,400,14,6,11.1,1,False,,"If you've been beaten senseless, someone's ""knocked"" this gooey roofing material ""out of you""",tar
50618,4041,3/11/2002,Jeopardy!,FUN WITH FLOWERS,400,11,5,11.36,1,False,,Ikebana is a traditional art of arranging flowers in this country,Japan
29612,4764,4/28/2005,Jeopardy!,OFFICIAL ALASKAN STATE STUFF,200,11,4,9.92,1,False,,Knowing that this is Alaska's state mineral gives me a rush,gold
39922,4417,11/18/2003,Jeopardy!,I'LL BE BACH,600,21,4,7.79,1,False,,"In his day, it's the instrument Bach was best known for playing; he was an expert on its design & construction",organ
97025,6105,3/11/2011,Double Jeopardy!,THE PEACE CORPS,1600,23,9,10.96,1,False,,"At the invitation of President Nkrumah, the first overseas volunteers arrived in this country on the Gulf of Guinea in August of 1961",Ghana
18271,5964,7/15/2010,Jeopardy!,"""FOO"" FIGHTERS",200,8,3,9.95,1,False,,It's the North American counterpart of the yeti,Bigfoot
63457,4190,11/15/2002,Jeopardy!,NEW VIDEO GAMES,400,19,5,8.73,3,False,,Rolling Stone magazine's choice for Console Game of the Year 2002 is the third installment of this carjack game,Grand Theft Auto
75186,4614,9/30/2004,Jeopardy!,STARBUCKS,1000,31,11,10.17,2,False,,(Jimmy of the Clue Crew stands at a Starbucks sales display in Seattle.)  Starbucks preserves forests by promoting this type of coffee from plants under the canopies of native trees,shade coffee
66879,4488,2/25/2004,Double Jeopardy!,THE EUROPEAN DIRECTOR'S CHAIR,400,11,3,8.49,2,False,,"""Two Men and a Wardrobe"", ""Death and the Maiden"", ""The Pianist""",Roman Polanski
6008,4935,2/10/2006,Jeopardy!,TV CASTS,1000,6,3,11.83,4,False,,"Paul DiMeo, Paige Hemmis, Ty Pennington",Extreme Makeover: Home Edition
81638,6194,7/14/2011,Jeopardy!,MONOGRAM MADNESS,400,5,2,11.73,3,False,,A presidential assassin:  JWB,John Wilkes Booth
73350,5413,3/5/2008,Jeopardy!,SPORTS NICKNAMES,400,25,5,8.03,2,False,,"In 2004 the career of this ex-champ known as ""Iron Mike"" took a sad turn when he was KO'd in round 4 by Danny Williams",Mike Tyson
13227,4862,11/1/2005,Jeopardy!,"DR. PHIL, SHAKESPEAREAN COUNSELOR",800,18,7,10.98,1,False,,"Regan & Goneril got your inheritance, but you married the King of France; get over your daddy issues!",Cordelia
17564,4546,5/17/2004,Jeopardy!,NON SEQUITURS,1000,18,5,8.47,3,False,,"Alexander the Great, born in 356 B.C., was one Macedonian who never read this author's ""Glinda of Oz""",L. Frank Baum
10975,4390,10/10/2003,Jeopardy!,STUPID ANSWERS,1000,25,8,10.09,2,False,,(Sofia of the Clue Crew up in the Goodyear Blimp)  It's a majestic sight as the water breaks over this barrier located below us,the breakwater
93100,5455,5/2/2008,Jeopardy!,MIND YOUR BUSINESS,1000,14,4,9.14,2,False,,The name of this fruit & vegetable canner came from a hotel in Monterey,Del Monte
92328,5379,1/17/2008,Double Jeopardy!,COLORFUL WORDS & PHRASES,1200,13,8,14.0,5,False,,A real-life mutiny aboard a soviet frigate inspired this 1984 Tom Clancy bestseller,The Hunt for Red October
21801,6225,10/14/2011,Double Jeopardy!,UNWANTED DISTINCTIONS,800,19,6,9.09,2,False,,"For Angola the ""CIA World Factbook"" gives this figure as 38.76 years, 6 years less than the 2nd-lowest country",life expectancy
63826,5398,2/13/2008,Double Jeopardy!,VERY SUPERSTITIOUS,800,14,4,8.84,2,False,,It was believed that this animal's foot could keep away all forms of rheumatism,a rabbit
34836,4619,10/7/2004,Double Jeopardy!,"THIS MOVIE IS ""DEAD""",1600,12,7,14.23,2,False,,1991: Kenneth Branagh & Emma Thompson play reincarnated lovers in Los Angeles,Dead Again
69011,6286,1/9/2012,Double Jeopardy!,BROADCASTER NEWS,1600,16,4,8.38,2,False,,"This ""current"" newsman wrote the book ""The Worst Person in the World: and 202 Strong Contenders""",Keith Olbermann
105985,6114,3/24/2011,Double Jeopardy!,GEOGRAPHIC TERMS,1600,22,7,9.75,1,False,,"From the Latin for ""one who makes a levied payment"" comes this term for a stream that flows into a larger stream",tributary
90096,5122,12/12/2006,Jeopardy!,THE 1850s,200,19,4,8.04,3,False,,"Playwright George Aiken dramatized this Stowe book & first performed it at Troy, New York, on Sept. 27, 1852",Uncle Tom's Cabin
76630,4679,12/30/2004,Jeopardy!,THE SOUTHERNMOST NATION,600,12,7,13.44,1,False,,"The United Arab Emirates, The United Kingdom, The Federated States of Micronesia",Micronesia
1138,5431,3/31/2008,Jeopardy!,"CROSSWORD CLUES ""F""",800,5,1,7.04,1,False,,"A Mrs., in Munich (4)",Frau
25582,4197,11/26/2002,Double Jeopardy!,BRIT LIT,1600,11,5,11.36,2,False,,George Eliot's first full-length novel told the tale of this carpenter,Adam Bede
113153,5813,12/16/2009,Jeopardy!,BIRDS WITHIN WORDS,800,5,2,10.2,2,False,,It's hiding in the hibiscus,an ibis
24864,5958,7/7/2010,Jeopardy!,TOYS & GAMES,400,19,3,7.07,3,False,,"The hot toys for Christmas 2009 were the hamsters from this brand of ""pets"" with a double talk name",Zhu Zhu Pets
721,5392,2/5/2008,Jeopardy!,THE SILVER SCREEN,200,20,5,8.58,1,False,,"1960 film that says ""Matricide is probably the most unbearable crime of all"", especially for ""the son who commits it""",Psycho
114637,6043,12/15/2010,Jeopardy!,THE CITY'S MAYOR,200,5,2,10.2,1,False,,Richard Daley (1955 to 1976),Chicago
57923,5184,3/8/2007,Jeopardy!,COUNTRIES OF THE WORLD,800,15,4,8.5,1,False,,Its first king is known in English as St. Stephen & locally as Szent Istvan,Hungary
38693,4927,1/31/2006,Jeopardy!,AMERICAN BEAUTY,800,13,3,7.93,2,False,,She went from San Francisco 49er cheerleader to Lois Lane to Wisteria Lane,Teri Hatcher
44009,4549,5/20/2004,Double Jeopardy!,FRENCH LITERATURE,1600,20,11,13.31,1,False,,"In this 1759 Voltaire novel, the title character moves briefly to an ideal country in South America called El Dorado",Candide
58492,4869,11/10/2005,Double Jeopardy!,CHARACTERS IN MUSICALS,2000,47,9,8.01,1,True,http://www.j-archive.com/media/2005-11-10_DJ_30.jpg,"(Cheryl of the Clue Crew gives the clue from inside a giant tree in the New Amsterdam Theatre in New York.)  I'm here in the tree of this character, who's a male baboon in the movie & played by a female here on Broadway",Rafiki
58429,5898,4/14/2010,Double Jeopardy!,"AMERICA""NA""",1200,6,3,11.83,1,False,,"""Famous"" Coney Island hot dog stand",Nathan's
23386,5260,6/22/2007,Double Jeopardy!,TRAVEL EUROPE,1600,20,6,9.57,2,False,,"April 25 is the feast day of this Patron Saint of Venice, & Venetians celebrate it with a gondola race",St. Mark
40761,6291,1/16/2012,Jeopardy!,DR. MASSEUSE RHYMES,800,23,5,8.08,1,False,,The longest in the body / this muscle feels ungodly / rest my thigh at the bar? glorious! / now work on my...,sartorius
71657,4926,1/30/2006,Double Jeopardy!,AUSSIE CAPITALS,800,17,8,11.91,1,False,,"Of all the world's urban centers exceeding 1 million in populatioin, this capital of Victoria is southernmost",Melbourne
23801,5180,3/2/2007,Jeopardy!,TAKE A WOK ON THE WILD SIDE,600,19,6,9.79,5,False,,"Despite their name, these pungent Chinese eggs are preserved in lime, ash & salt underground for about 100 days",hundred-year-old eggs (or thousand-year-old eggs)
68500,4391,10/13/2003,Double Jeopardy!,COUNTRY BY REGION,400,3,3,19.58,1,False,,"Damietta, Gharbiya, Aswan",Egypt
56145,4713,2/16/2005,Double Jeopardy!,YOU GOT MY LITERARY NUMBER,1200,15,7,11.75,4,False,,The Buendia family lives in the isolated jungle town of Macondo in this 1967 novel,100 Years of Solitude
103386,4259,2/20/2003,Jeopardy!,WHICH DOCTOR...,600,5,2,11.73,1,False,,Treats bunions & hammer toes,podiatrist
116296,5730,7/3/2009,Jeopardy!,PUBS & TAVERNS,800,42,14,10.53,1,True,"http://www.j-archive.com/media/2009-07-03_J_21.jpg, http://www.j-archive.com/media/2009-07-03_J_21a.jpg","(Kelly of the Clue Crew reports from the Raleigh Tavern in Williamsburg, VA.)  The Raleigh Tavern here in Williamsburg has hosted many a feast, including one for this Frenchman during his triumphant return to America in 1824",Lafayette
113571,4669,12/16/2004,Double Jeopardy!,McCLURE'S MAGAZINE,1600,17,8,11.91,2,False,,"She resigned as editor of McClure's in 1912 to become a novelist, mainly with tales of Nebraska",Willa Cather
18650,5440,4/11/2008,Double Jeopardy!,"CUT TO THE ""QUICK""",1200,12,3,8.18,1,False,,"A media player, or a march rate of 120 paces per minute",QuickTime
51674,5997,10/12/2010,Double Jeopardy!,SPANISH TO ENGLISH,1600,4,2,11.73,2,False,,A delicious fruit: manzana,an apple
96444,4833,9/21/2005,Jeopardy!,PALINDROMIC WORDS,1000,7,3,11.83,1,False,,Enemy of God in Ezekiel & Revelation,Gog
32950,5016,6/5/2006,Jeopardy!,"""PUN"" DAY",400,5,2,10.2,1,False,,Strong smelling or strong tasting,pungent
25798,5837,1/19/2010,Double Jeopardy!,NORSE,800,15,5,9.64,1,False,,Our word for the underworld is derived from this 3-letter Norse goddess who presided there,Hel
17599,5681,4/27/2009,Jeopardy!,SPHERES,200,16,5,9.36,2,False,,One made by Martin Behaim in 1492 may have influenced Columbus to sail west to Asia,a globe
44251,4923,1/25/2006,Jeopardy!,ALSO A BODY PART,200,7,1,6.24,2,False,,"It's the bud of a potato, bud",the eye
29009,5543,10/15/2008,Jeopardy!,STOCK IT TO ME!,600,6,2,9.2,1,False,,"This cereal company, K? It's grrreat!",Kellogg's
23096,6228,10/19/2011,Double Jeopardy!,THE ROCK & ROLL CALENDAR,1200,12,5,10.81,1,False,,"In ""American Pie"" it ""made me shiver with every paper I'd deliver""",February
74454,4322,5/20/2003,Jeopardy!,THE CRICKET ON THE HEARTH,1000,20,7,10.16,1,False,,This can be estimated by adding 40 to the number of a snowy tree cricket's chirps in a 15-second period,temperature
83352,4717,2/22/2005,Double Jeopardy!,"I ""WONDER""",1200,15,3,7.54,2,False,,In 2004 Brooke Shields was back on Broadway in the hit revival of this musical,Wonderful Town
106477,5254,6/14/2007,Double Jeopardy!,2006 SPORTS LAUGHS,400,18,8,11.55,1,False,,Jordin Tootoo of the Nashville Predators got a few chuckles when he changed his jersey number to this,22
105469,5447,4/22/2008,Double Jeopardy!,CLASSIC FOREIGN FILMS,800,17,6,10.05,4,False,,"This film also known as ""Les Parapluies de Cherbourg"" is the perfect rental for a rainy day",The Umbrellas of Cherbourg
75881,5066,9/25/2006,Double Jeopardy!,1950s MOVIES,1600,9,2,7.59,1,False,,James Dean starts an oil empire in this film,Giant
87967,6139,4/28/2011,Jeopardy!,FRUITS & NUTS,800,14,6,11.57,1,False,,"The Brazilian type of this c-shaped nut is the largest, softest & whitest variety",cashew
73288,4290,4/4/2003,Jeopardy!,"ON A MAP, SOMEWHERE",200,16,5,9.36,1,False,,"Dunoon, a burgh on the coast of this country, has a famous statue of ""Highland Mary""",Scotland
50702,6090,2/18/2011,Double Jeopardy!,4-LETTER COUNTRIES,800,12,3,8.18,1,False,,Golf great Vijay Singh hails from this country in the South Pacific,Fiji
115886,5214,4/19/2007,Jeopardy!,BRIDE OF THE YANKEES,400,21,4,7.69,2,False,,"In the HBO movie ""61*"", Claire, this man's widow, is none too happy when his home-run record of 60 is tied",Babe Ruth
12347,6140,4/29/2011,Double Jeopardy!,ARBOR DAY READING?,1600,15,5,9.64,3,False,,"""Dinosaurs Before Dark"" is the first book in this kids' series by Mary Pope Osborne",The Magic Treehouse
30075,4762,4/26/2005,Jeopardy!,AP FEMALE ATHLETES OF THE YEAR,600,4,1,7.78,2,False,,1987: This 7-activity star,Jackie Joyner-Kersee
61080,4718,2/23/2005,Jeopardy!,BEASTLY LANGUAGE,200,11,5,11.36,6,False,,"Meaning to be prepared, it refers to having your canvasbacks strung",get your ducks in a row
27733,4206,12/9/2002,Double Jeopardy!,"OH, WHAT A YEAR!",400,19,7,9.93,1,False,,"Once capital of a Russian duchy, Helsinki became capital of ind. Finland in this year of the Russian Revolution",1917
23973,5998,10/13/2010,Jeopardy!,GOOD TV,600,14,7,12.23,2,False,,"This spin-off from ""Maude"" focused on the dy-no-mite Evans family, who lived in Chicago",Good Times
37635,5501,7/7/2008,Double Jeopardy!,CHRIS COLUMBUS,800,17,9,12.84,2,False,,"Chris Columbus penned the script about this ""Young"" title character who solved murders aided by John Watson",Sherlock Holmes
31538,4896,12/19/2005,Jeopardy!,IT WAS THE '60s,200,18,7,10.67,2,False,,"A July 21, 1969 Wapakoneta, Ohio Daily News headline about a local boy read, ""Neil steps on"" this",the Moon
57059,5594,12/25/2008,Jeopardy!,GET YOUR FACTS STRAIGHT,200,17,4,8.19,2,False,,"Legoland is an amusement park: Legolas is the character he played in ""The Lord of the Rings""",Orlando Bloom
32933,5854,2/11/2010,Double Jeopardy!,CIVIL WAR GENERALS,2000,20,9,11.73,2,False,,"The ""eyes"" of Lee's army, this cavalry man completely circled the federal army in 1862, returning with 1,200 enemy horses",Jeb Stuart
110479,5204,4/5/2007,Double Jeopardy!,THE 800 NUMBER IS...,400,11,5,11.36,1,False,,"For lodging at any of 850 locations, dial 800-4MOTEL this digit",6
11275,5694,5/14/2009,Double Jeopardy!,AMERICAN HISTORY,1200,20,6,9.09,2,False,,In 1960 the last of these locomotives was retired from general use in the U.S. & Diesel ones took over,steam engines
100862,5664,4/2/2009,Jeopardy!,RECORD OF THE YEAR GRAMMYS,1000,7,2,8.5,2,False,,"1963: ""Days of Wine And Roses"" (instrumental)",Henry Mancini
99059,4269,3/6/2003,Jeopardy!,BRITISH ROYAL DADS,800,12,4,9.92,3,False,,"Born in what's now France, he fathered William Rufus & Henry I",William the Conqueror
7266,4798,6/15/2005,Double Jeopardy!,GIMME MY HUNCHBACK,1200,21,6,9.19,1,False,,"The 2003 musical ""The Fabulist"" tells the tale of this hunchbacked slave of Ancient Greece who told tales of his own",Aesop
